ID;SENT_FROM_NAME;SENT_FROM_ID;RECIVED_BY_NAME;RECIVED_BY_ID;Absendeort;Absendeort_id;Ankunftsort;Ankunftsort_id;Nummer_Harris;Journalnummer;Aufbewahrungsort;Aufbewahrungsinstitution;Signatur;url_facsimile;published_in;published_in_url;Datum;letter_text;status_letter_text;summary_en;persons_mentioned;topics_mentioned;normalized_text;scan_erhalten;upload_transkribus;ATR_processed;ATR_proofread;tei_encoded
lassberg-letter-0001;Johann Alphons von Lugo-;lassberg-correspondent-0181;Joseph von Laßberg;lassberg-correspondent-0373;Freiburg i. Brsg;lassberg-place-0050;;;1566;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1788-06-17;;;;;;;;;;;
lassberg-letter-0002;Carl Banger;lassberg-correspondent-0052;Joseph von Laßberg;lassberg-correspondent-0373;Freiburg i. Brsg;lassberg-place-0050;;;1567;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1788-06-28;;;;;;;;;;;
lassberg-letter-0003;Carl Banger;lassberg-correspondent-0052;Joseph von Laßberg;lassberg-correspondent-0373;Freiburg i. Brsg;lassberg-place-0050;;;1568;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1788-06-29;;;;;;;;;;;
lassberg-letter-0004;Joseph Konrad Eckhard;lassberg-correspondent-0233;Joseph von Laßberg;lassberg-correspondent-0373;Donaueschingen;lassberg-place-0037;;;1569;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1789-04-05;;;;;;;;;;;
lassberg-letter-0005;Josef Friedrich Wilhelm von Hohenzollern-Hechingen;lassberg-correspondent-0220;Joseph von Laßberg;lassberg-correspondent-0373;Hechingen;lassberg-place-0064;;;1570;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1789-04-12;;;;;;;;;;;
lassberg-letter-0006;Joseph von Laßberg;lassberg-correspondent-0373;Regierungspräsidium;lassberg-correspondent-0328;Donaueschingen;lassberg-place-0037;;;1;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1792-03-08;;;;;;;;;;;
lassberg-letter-0007;Joseph Maria Benedikt zu Fürstenberg-Stühlingen;lassberg-correspondent-0234;Joseph von Laßberg;lassberg-correspondent-0373;Donaueschingen;lassberg-place-0037;;;1571;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1792-07-04;;;;;;;;;;;
lassberg-letter-0008;Joseph Maria Benedikt zu Fürstenberg-Stühlingen;lassberg-correspondent-0234;Joseph von Laßberg;lassberg-correspondent-0373;Donaueschingen;lassberg-place-0037;;;1572;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1792-07-04;;;;;;;;;;;
lassberg-letter-0009;Joseph von Laßberg;lassberg-correspondent-0373;Hofkammer;lassberg-correspondent-0165;Donaueschingen;lassberg-place-0037;;;2;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1792-09-19;;;;;;;;;;;
lassberg-letter-0010;Hofkammer;lassberg-correspondent-0165;Joseph von Laßberg;lassberg-correspondent-0373;Donaueschingen;lassberg-place-0037;;;1573;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1793-04-08;;;;;;;;;;;
lassberg-letter-0011;Joseph von Laßberg;lassberg-correspondent-0373;Joseph Maria Benedikt zu Fürstenberg-Stühlingen;lassberg-correspondent-0234;Heiligenberg;lassberg-place-0066;;;3;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1795-02-01;;;;;;;;;;;
lassberg-letter-0012;Franz Bernhard Neuffer;lassberg-correspondent-0095;Joseph von Laßberg;lassberg-correspondent-0373;Röhrenbach;lassberg-place-0119;;;1574;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1795-03-15;;;;;;;;;;;
lassberg-letter-0013;Joseph von Laßberg;lassberg-correspondent-0373;Hofkammer;lassberg-correspondent-0165;Unbekannt;lassberg-place-0152;;;4;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1795-11-18;;;;;;;;;;;
lassberg-letter-0014;Hofkammer;lassberg-correspondent-0165;Joseph von Laßberg;lassberg-correspondent-0373;Donaueschingen;lassberg-place-0037;;;1575;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1795-12-10;;;;;;;;;;;
lassberg-letter-0015;Caroline Luise von Schaumburg-Lippe;lassberg-correspondent-0061;Joseph von Laßberg;lassberg-correspondent-0373;Feuerthalen;lassberg-place-0046;;;1576;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1796-08-27;;;;;;;;;;;
lassberg-letter-0016;Franz Anton Seraphicus Graf von Harrach zu Rohrau;lassberg-correspondent-0092;Joseph von Laßberg;lassberg-correspondent-0373;Kehl;lassberg-place-0076;;;1577;;Karlsruhe;Badische Landesbibliothek;;;;;1796-12-04;;;;;;;;;;;
lassberg-letter-0017;Franz Joseph Kolb;lassberg-correspondent-0102;Joseph von Laßberg;lassberg-correspondent-0373;Lindau;lassberg-place-0090;;;1578;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1798-05-22;;;;;;;;;;;
lassberg-letter-0018;Unbekannt;lassberg-correspondent-0354;Joseph von Laßberg;lassberg-correspondent-0373;Brauneberg;lassberg-place-0029;;;1579;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1798-10-16;;;;;;;;;;;
lassberg-letter-0019;Hofkammer;lassberg-correspondent-0165;Joseph von Laßberg;lassberg-correspondent-0373;Donaueschingen;lassberg-place-0037;;;1580;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1799-08-13;;;;;;;;;;;
lassberg-letter-0020;Joseph von Laßberg;lassberg-correspondent-0373;Hofkammer;lassberg-correspondent-0165;Heiligenberg;lassberg-place-0066;;;5;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1799-08-20;;;;;;;;;;;
lassberg-letter-0021;Hofkammer;lassberg-correspondent-0165;Joseph von Laßberg;lassberg-correspondent-0373;Donaueschingen;lassberg-place-0037;;;1581;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1799-08-24;;;;;;;;;;;
lassberg-letter-0022;Joseph von Laßberg;lassberg-correspondent-0373;Joseph Roth von Schreckenstein;lassberg-correspondent-0236;Helmsdorf;lassberg-place-0067;;;6;62;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1800-02-28;;;;;;;;;;;
lassberg-letter-0023;Joseph von Laßberg;lassberg-correspondent-0373;Hofkammer;lassberg-correspondent-0165;Heiligenberg;lassberg-place-0066;;;7;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1800-04-25;;;;;;;;;;;
lassberg-letter-0024;Joseph von Laßberg;lassberg-correspondent-0373;Fürstlich Fürstenbergische Forstkammer;lassberg-correspondent-0129;Heiligenberg;lassberg-place-0066;;;8;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1800-07-18;;;;;;;;;;;
